iter	Logloss
0	0.6619830164
1	0.6318052544
2	0.6056332442
3	0.5812480432
4	0.5600404921
5	0.5400786254
6	0.5217681473
7	0.504723815
8	0.4891447231
9	0.4754038891
10	0.4631930389
11	0.4517438604
12	0.4411614326
13	0.4318089252
14	0.4223686451
15	0.4137229317
16	0.4060586026
17	0.3989647954
18	0.3920361605
19	0.385816708
20	0.3799618312
21	0.3748229218
22	0.3697922837
23	0.3651623886
24	0.3606198611
25	0.3565783437
26	0.3529490251
27	0.3492620393
28	0.3469277064
29	0.3438535842
30	0.3416973345
31	0.338874988
32	0.3367191377
33	0.334561105
34	0.3329780619
35	0.3305556393
36	0.3294687765
37	0.3281937705
38	0.3262618156
39	0.3242998295
40	0.3212592196
41	0.3195109557
42	0.3181953327
43	0.3167631215
44	0.3150745369
45	0.3140690922
46	0.3119866036
47	0.3100838041
48	0.3090986895
49	0.3070799667
50	0.3061684209
51	0.3048687345
52	0.3039298537
53	0.3028857465
54	0.3017526624
55	0.3000357726
56	0.2990309513
57	0.2983118751
58	0.2974213407
59	0.2967004304
60	0.2959612258
61	0.2953590645
62	0.2947153757
63	0.29385184
64	0.293339662
65	0.2926907686
66	0.2921425325
67	0.2914094714
68	0.2909539265
69	0.2897106156
70	0.2892067003
71	0.2883739016
72	0.2876408573
73	0.2871055491
74	0.2865522931
75	0.2861588653
76	0.2852387656
77	0.2845979821
78	0.284254149
79	0.2837213167
80	0.2833420333
81	0.2830056969
82	0.282081007
83	0.2813980423
84	0.2809199705
85	0.2803775072
86	0.279929633
87	0.2796184938
88	0.2792063165
89	0.2790246725
90	0.2785757886
91	0.2780525498
92	0.2775065702
93	0.276594383
94	0.2762557336
95	0.2758410236
96	0.2754308207
97	0.2750545123
98	0.2746983691
99	0.2742091329
100	0.2736684507
101	0.2731598651
102	0.2728691846
103	0.2724795261
104	0.2720526097
105	0.2717319201
106	0.2707939199
107	0.2704739637
108	0.2701271105
109	0.2696237396
110	0.2691634073
111	0.2689752899
112	0.268583076
113	0.2681909217
114	0.2678630043
115	0.2675367931
116	0.267037284
117	0.2666028537
118	0.266312821
119	0.2660151145
120	0.2656264165
121	0.2653290694
122	0.2651864387
123	0.2648754376
124	0.2643472376
125	0.2640502431
126	0.2637104168
127	0.2633854931
128	0.2631555489
129	0.262843556
130	0.2623710047
131	0.2621988228
132	0.2619400031
133	0.261561994
134	0.2613090846
135	0.2607994177
136	0.2604757284
137	0.2602496074
138	0.2600262728
139	0.259724095
140	0.2591610014
141	0.2588039289
142	0.2585264371
143	0.2578694811
144	0.2574378908
145	0.2572250549
146	0.2570207326
147	0.2567399731
148	0.2565570452
149	0.2561663453
150	0.2558233876
151	0.2556194131
152	0.2554584363
153	0.2551305494
154	0.2547829075
155	0.2545515792
156	0.254230291
157	0.2539127699
158	0.2536139979
159	0.2530561784
160	0.2527974921
161	0.2525167642
162	0.252272405
163	0.2520447319
164	0.2516167311
165	0.2514390982
166	0.2513325729
167	0.2512381074
168	0.2511060595
169	0.250891836
170	0.2507671872
171	0.2504620555
172	0.2502710554
173	0.250095973
174	0.2497842795
175	0.2494566757
176	0.2489021749
177	0.2486676889
178	0.2485192475
179	0.2483715885
180	0.2481279091
181	0.2479336303
182	0.2475136609
183	0.2473458077
184	0.2470270484
185	0.2465129921
186	0.246369254
187	0.2461029505
188	0.2458220803
189	0.2456868201
190	0.2455343535
191	0.2452631073
192	0.2450989319
193	0.2449049767
194	0.2447139267
195	0.2444674713
196	0.2443492057
197	0.2442022174
198	0.2439841401
199	0.2438759997
200	0.2436656134
201	0.2435260596
202	0.2434125768
203	0.24318574
204	0.2430829358
205	0.2427729658
206	0.2424730905
207	0.2422484787
208	0.242030963
209	0.2419295517
210	0.2417313357
211	0.241569316
212	0.2413213129
213	0.2412045651
214	0.2409830118
215	0.2408353779
216	0.240652552
217	0.2405247998
218	0.2402402764
219	0.2400430278
220	0.2398462298
221	0.2396878793
222	0.2393956132
223	0.2391916752
224	0.2390147237
225	0.2389036083
226	0.2387333553
227	0.2385436372
228	0.2383946007
229	0.2382865599
230	0.2379721276
231	0.2377674956
232	0.2375953942
233	0.2374175941
234	0.2373244666
235	0.2371690197
236	0.2370063156
237	0.2368079575
238	0.236416135
239	0.2362492933
240	0.2361287711
241	0.2358775968
242	0.2355655632
243	0.2353116901
244	0.2350385258
245	0.2348929739
246	0.2346144954
247	0.2343905567
248	0.2339230618
249	0.2338185756
250	0.2336318273
251	0.2335506768
252	0.2332443187
253	0.2331118256
254	0.232795564
255	0.2326960874
256	0.2325332602
257	0.2322856976
258	0.2320567331
259	0.2318995343
260	0.2318264627
261	0.2316295043
262	0.231245924
263	0.2310488875
264	0.2307550134
265	0.2305562292
266	0.2303831815
267	0.2301360118
268	0.2299422883
269	0.2298544568
270	0.2297488266
271	0.2295163268
272	0.2292257145
273	0.2291141423
274	0.2288410978
275	0.2286919758
276	0.2285125364
277	0.2282483108
278	0.2280940079
279	0.2278928916
280	0.227672859
281	0.2274647231
282	0.2271279044
283	0.226968655
284	0.2267745161
285	0.2265283358
286	0.2264268559
287	0.2262429469
288	0.2259972845
289	0.2258468634
290	0.2256111313
291	0.2254817633
292	0.2253078327
293	0.2251000568
294	0.2248587567
295	0.2246658114
296	0.2243153666
297	0.2242093637
298	0.224072848
299	0.2238828825
300	0.2235800621
301	0.2234006504
302	0.2232129812
303	0.223017519
304	0.2227878749
305	0.2225011499
306	0.2223994142
307	0.2222742012
308	0.2221023447
309	0.221981547
310	0.2218647111
311	0.2217331026
312	0.2215576797
313	0.2214644028
314	0.2211871833
315	0.2210121043
316	0.2208647701
317	0.220613852
318	0.2205087735
319	0.2203443855
320	0.2201966969
321	0.2201201667
322	0.2199252405
323	0.2197232616
324	0.2196059603
325	0.2194088741
326	0.2192525326
327	0.2190149209
328	0.2188403363
329	0.2187288542
330	0.2185871377
331	0.2183542004
332	0.218139517
333	0.2179478544
334	0.217737013
335	0.2175193305
336	0.2173388519
337	0.2172291798
338	0.2170783958
339	0.2169484631
340	0.2168369404
341	0.2165552434
342	0.2164228708
343	0.2162829767
344	0.2161353351
345	0.2160090248
346	0.2158766153
347	0.2157988333
348	0.2156866169
349	0.2155021322
350	0.2153928186
351	0.2152198915
352	0.2151203282
353	0.2150281708
354	0.2148960213
355	0.2147772513
356	0.2145880553
357	0.2145021505
358	0.2144061894
359	0.2141531211
360	0.2140807286
361	0.2139410249
362	0.2138612969
363	0.213758254
364	0.2136901862
365	0.2135113102
366	0.2133646848
367	0.2132278518
368	0.2130829762
369	0.2130207444
370	0.2128815007
371	0.2127650578
372	0.2126492135
373	0.2124000196
374	0.2123250987
375	0.2121917402
376	0.2120435852
377	0.2118924588
378	0.2116598148
379	0.2115790969
380	0.2113493279
381	0.2111987334
382	0.211040047
383	0.2108962425
384	0.210813646
385	0.2106987277
386	0.2106006748
387	0.2104565186
388	0.2102417831
389	0.2100954477
390	0.209995736
391	0.2099150343
392	0.2097896609
393	0.2095727665
394	0.2093763575
395	0.2092276581
396	0.2090967574
397	0.208933624
398	0.2087226767
399	0.208537764
400	0.2084184674
401	0.2083001955
402	0.2082237054
403	0.2080998827
404	0.2079699262
405	0.2078703081
406	0.2077389941
407	0.2075839748
408	0.2074782818
409	0.2072769419
410	0.2070918249
411	0.2070009684
412	0.2068666343
413	0.206708114
414	0.2065547069
415	0.2063884086
416	0.2063104143
417	0.2061779036
418	0.2060928162
419	0.2060009615
420	0.2059332051
421	0.2057985142
422	0.2056684901
423	0.2055736924
424	0.2053344254
425	0.2051492116
426	0.2049795259
427	0.2049032244
428	0.2047804734
429	0.2047100587
430	0.2045831174
431	0.2044664198
432	0.2043041244
433	0.2041680598
434	0.2040261316
435	0.2039028126
436	0.2037912897
437	0.2036772539
438	0.2036074949
439	0.203510325
440	0.2033303246
441	0.2032316986
442	0.2031169613
443	0.2030008516
444	0.2028917043
445	0.2027231261
446	0.2026409804
447	0.2025119953
448	0.2024311491
449	0.2023443133
450	0.202229557
451	0.2020719055
452	0.2019485942
453	0.2018037215
454	0.2017094471
455	0.2016058675
456	0.2015115254
457	0.2012868134
458	0.2012177856
459	0.2011155187
460	0.200931216
461	0.2008240238
462	0.2006715453
463	0.200536078
464	0.2004722469
465	0.2002850593
466	0.2002180192
467	0.2001459825
468	0.2000389178
469	0.19994077
470	0.1996694356
471	0.1994996981
472	0.1994021745
473	0.1993073251
474	0.1992193754
475	0.1991226165
476	0.1989568991
477	0.1988159996
478	0.1987537367
479	0.198604186
480	0.1984402945
